;1211578;1/7/2569;09:42;Plank;;7;;;;8.419;;488.291
;;;;;;;No.1 S.2 cm (Z)
;1211579;1/7/2569;09:44;Plank;;7;No.2 S.2 cm (Z);;;8.334;;521.054

;1211580;1/7/2569;09:46;Plank;;7;No.3 S.2 cm (Z);;;8.366;;505.189

;1211581;1/7/2569;09:49;Pile i 22x22;;7;No.1 S.14 cm (Z);;;8.370;;479.932
;1211582;1/7/2569;09:51;Pile i 22x22;;7;;;;8.386;;448.607
;;;;;;;No.2 S.14 cm (B)
;1211583;1/7/2569;09:53;Pile i 22x22;;7;No.3 S.14 cm (B);;;8.327;;504.156

;1211584;1/7/2569;09:55;Pile i 18x18;;7;No.1 S.17 cm (B);;;8.349;;502.313
;1211585;1/7/2569;09:56;Pile i 18x18;;7;;;;8.444;;481.325
;;;;;;;No.2 S.17 cm (B)
;1211586;1/7/2569;09:58;Pile i 18x18;;7;No.3 S.17 cm (B);;;8.399;;479.842

;1211587;1/7/2569;10:00;Plank;;18h;No.1 S.6 cm (Z);;;8.448;;325.376

;1211588;1/7/2569;10:02;Plank;;18h;No.2 S.6 cm (Z);;;8.385;;334.769
;1211589;1/7/2569;10:04;Plank;;18h;;;;8.332;;334.049
;;;;;;;No.3 S.6 cm (Z)
;1211590;1/7/2569;10:06;Pile i 22x22;;18h;No.1 S.5 cm (B);;;8.373;;448.293

;1211591;1/7/2569;10:07;Pile i 22x22;;18h;No.2 S.5 cm (B);;;8.445;;448.787
;1211592;1/7/2569;10:09;Pile i 22x22;;18h;;;;8.573;;448.922
;;;;;;;No.3 S.5 cm (B)
;1211593;1/7/2569;10:11;Pile i 18x18;;18h;No.1 S.7 cm (B);;;8.338;;356.476

;1211594;1/7/2569;10:12;Pile i 18x18;;18h;No.2 S.7 cm (B);;;8.325;;362.408

;1211595;1/7/2569;10:14;Pile i 18x18;;18h;No.3 S.7 cm (B);;;8.325;;346.409
;1211599;2/7/2569;09:44;Plank;;7;;;;8.274;;463.258
;;;;;;;No.1S.2cm.(Z)
;1211600;2/7/2569;09:46;Plank;;7;No.2S.2cm.(Z);;;8.306;;474.224

;1211601;2/7/2569;09:49;Plank;;7;No.3S.2cm.(Z);;;8.313;;499.841
;1211602;2/7/2569;09:51;Pile i 22x22;;7;;;;8.506;;507.526
;;;;;;;No.1S.5cm.(b)
;1211603;2/7/2569;09:53;Pile i 22x22;;7;No.2S.5cm.(b);;;8.484;;521.144

;1211604;2/7/2569;09:55;Pile i 22x22;;7;No.3S.5cm.(b);;;8.467;;528.245

;1211605;2/7/2569;09:57;Pile i 18x18;;7;No.1S.8cm.(b);;;8.331;;434.271
;1211606;2/7/2569;09:59;Pile i 18x18;;7;;;;8.303;;428.877
;;;;;;;No.2S.8cm.(b)
;1211607;2/7/2569;10:00;Pile i 18x18;;7;No.3S.8cm.(b);;;8.353;;433.731

;1211611;2/7/2569;10:07;Pile i 22x22;;5;No.1S.15cm.(b);;;8.222;;499.751
;1211612;2/7/2569;10:09;Pile i 22x22;;5;;;;8.315;;469.146
;;;;;;;No.2S.15cm.(b)
;1211613;2/7/2569;10:10;Pile i 22x22;;5;No.3S.15cm.(b);;;8.500;;500.695

;1211614;2/7/2569;10:12;Pile i 18x18;;5;No.1S.16cm.(b);;;8.296;;404.384

;1211615;2/7/2569;10:14;Pile i 18x18;;5;No.2S.16cm.(b);;;8.269;;448.203
;1211616;2/7/2569;10:15;Pile i 18x18;;5;;;;8.259;;419.170
;;;;;;;No.3S.16cm.(b)
;1211617;2/7/2569;10:17;Plank;;18h;No.1S.2cm.(Z);;;8.395;;353.375

;1211618;2/7/2569;10:18;Plank;;18h;No.2S.2cm.(Z);;;8.224;;356.565
;1211619;2/7/2569;10:19;Plank;;18h;;;;8.294;;360.520
;;;;;;;No.3S.2cm.(Z)
;1211620;2/7/2569;10:21;Pile i 22x22;;18h;No.1S.9cm.(b);;;8.319;;392.969



;;;;;;;;;;Page :2


;Print Date/Time;16/7/2569 11:04:41
;;;;;;;;;test by : Adichai
;;;;;;;;;;;;2
;Test No.;Date;Time;Customer;;Date of Unit;No./Slump.;;Weight( Kg.);;;Kgm/Cm

;1211621;2/7/2569;10:22;Pile i 22x22;;18h;;;;8.456;;337.690
;;;;;;;No.2S.9cm.(b)
;1211622;2/7/2569;10:24;Pile i 22x22;;18h;No.3S.9cm.(b);;;8.389;;366.902

;1211623;2/7/2569;10:25;Pile i 18x18;;18h;No.1S.14cm.(b);;;8.285;;279.400

;1211624;2/7/2569;10:27;Pile i 18x18;;18h;No.2S.14cm.(b);;;8.236;;275.714
;1211625;2/7/2569;10:28;Pile i 18x18;;18h;;;;8.254;;292.972
;;;;;;;No.3S.14cm.(b)
;1211626;3/7/2569;09:32;Pile i 22x22;;5;No.1 S.15cm.(b);;;8.321;;499.706

;1211627;3/7/2569;09:35;Pile i 22x22;;5;No.2 S.15cm.(b);;;8.475;;513.189
;1211628;3/7/2569;09:37;Pile i 22x22;;5;;;;8.292;;486.089
;;;;;;;No.3 S.15cm.(b)
;1211629;3/7/2569;09:39;Pile i 18x18;;5;No.1 S.16cm.(b);;;8.188;;407.395

;1211630;3/7/2569;09:40;Pile i 18x18;;5;No.2 S.16cm.(b);;;8.287;;390.137

;1211631;3/7/2569;09:42;Pile i 18x18;;5;No.3 S.16cm.(b);;;8.244;;425.597
;1211632;3/7/2569;09:44;Plank;;18h;;;;8.455;;405.373
;;;;;;;No.1 S.4cm.(z)
;1211633;3/7/2569;09:46;Plank;;18h;No.2 S.4cm.(z);;;8.398;;436.518

;1211634;3/7/2569;09:48;Plank;;18h;No.3 S.4cm.(z);;;8.399;;391.261
;1211635;3/7/2569;09:50;Pile i 22x22;;18h;;;;8.429;;403.935
;;;;;;;No.1 S.12cm.(b)
;1211636;3/7/2569;09:51;Pile i 22x22;;18h;No.2 S.12cm.(b);;;8.479;;421.237

;1211637;3/7/2569;09:53;Pile i 22x22;;18h;No.3 S.12cm.(b);;;8.551;;417.192

;1211638;3/7/2569;09:54;Pile i 18x18;;18h;No.1 S.16cm.(b);;;8.320;;307.489
;1211639;3/7/2569;09:56;Pile i 18x18;;18h;;;;8.382;;325.600
;;;;;;;No.2 S.16cm.(b)
;1211640;3/7/2569;09:57;Pile i 18x18;;18h;No.3 S.16cm.(b);;;8.329;;338.139

;1211641;4/7/2569;09:08;Plank;;7;No.1 S.2 cm (z);;;8.311;;488.022
;1211642;4/7/2569;09:11;Plank;;7;;;;8.307;;467.348
;;;;;;;No.2 S.2 cm (z)
;1211643;4/7/2569;09:13;Plank;;7;No.3 S.2 cm (z);;;8.251;;475.797

;1211644;4/7/2569;09:15;Pile i 22x22;;7;No.1 S.15 cm (b);;;8.355;;503.886

;1211645;4/7/2569;09:17;Pile i 22x22;;7;No.2 S.15 cm (b);;;8.506;;494.313
;1211646;4/7/2569;09:18;Pile i 22x22;;7;;;;8.425;;480.561
;;;;;;;No.3 S.15 cm (b)
;1211647;4/7/2569;09:20;Pile i 18x18;;7;No.1 S.16 cm (b);;;8.324;;439.798

;1211648;4/7/2569;09:22;Pile i 18x18;;7;No.2 S.16 cm (b);;;8.329;;478.718
;1211649;4/7/2569;09:24;Pile i 18x18;;7;;;;8.400;;485.774
;;;;;;;No.3 S.16 cm (b)
;1211654;4/7/2569;09:33;Pile i 22x22;;5;No.1 S.12 cm (b);;;8.391;;455.079

;1211655;4/7/2569;09:35;Pile i 22x22;;5;No.2 S.12 cm (b);;;8.373;;530.851

;1211656;4/7/2569;09:36;Pile i 22x22;;5;No.3 S.12 cm (b);;;8.374;;542.267
;1211657;4/7/2569;09:38;Pile i 18x18;;5;;;;8.318;;410.721
;;;;;;;No.1 S.19 cm (b)
;1211658;4/7/2569;09:40;Pile i 18x18;;5;No.2 S.19 cm (b);;;8.367;;418.586

;1211659;4/7/2569;09:41;Pile i 18x18;;5;No.3 S.19 cm (b);;;8.256;;427.979
;1211660;4/7/2569;09:43;Plank;;18h;;;;8.312;;357.150
;;;;;;;No.1 S.3 cm (b)
;1211661;4/7/2569;09:45;Plank;;18h;No.2 S.3 cm (z);;;8.305;;361.734



;;;;;;;;;;Page :3


;Print Date/Time;16/7/2569 11:04:41
;;;;;;;;;test by : Adichai
;;;;;;;;;;;;2
;Test No.;Date;Time;Customer;;Date of Unit;No./Slump.;;Weight( Kg.);;;Kgm/Cm

;1211662;4/7/2569;09:46;Plank;;18h;;;;8.354;;365.689
;;;;;;;No.3 S.3 cm (z)
;1211663;4/7/2569;09:48;Pile i 22x22;;18h;No.1 S.15 cm (b);;;8.344;;374.138

;1211664;4/7/2569;09:49;Pile i 22x22;;18h;No.2 S.15 cm (b);;;8.439;;340.341

;1211665;4/7/2569;09:51;Pile i 22x22;;18h;No.3 S.15 cm (b);;;8.531;;374.228
;1211666;4/7/2569;09:53;Pile i 18x18;;18h;;;;8.291;;272.703
;;;;;;;No.1 S.14 cm (b)
;1211667;4/7/2569;09:54;Pile i 18x18;;18h;No.2 S.14 cm (b);;;8.425;;279.400

;1211668;4/7/2569;09:56;Pile i 18x18;;18h;No.3 S.14 cm (b);;;8.327;;262.546
;1211669;6/7/2569;09:22;Plank;;2;;;;8.377;;504.336
;;;;;;;No.1 S.4 cm (z)
;1211670;6/7/2569;09:24;Plank;;2;No.2 S.4 cm (z);;;8.264;;489.055

;1211671;6/7/2569;09:26;Plank;;2;No.3 S.4 cm (z);;;8.348;;454.539

;1211672;6/7/2569;09:29;Pile i 22x22;;2;No.1 S.12 cm (b);;;8.357;;460.427
;1211673;6/7/2569;09:30;Pile i 22x22;;2;;;;8.541;;441.911
;;;;;;;No.2 S.12 cm (b)
;1211674;6/7/2569;09:32;Pile i 22x22;;2;No.3 S.12 cm (b);;;8.407;;456.337

;1211675;6/7/2569;09:34;Pile i 18x18;;2;No.1 S.15 cm (b);;;7.909;;304.343
;1211676;6/7/2569;09:35;Pile i 18x18;;2;;;;8.056;;317.780
;;;;;;;No.2 S.15 cm (b)
;1211677;6/7/2569;09:36;Pile i 18x18;;2;No.3 S.15 cm (b);;;8.031;;325.196

;1211681;6/7/2569;09:43;Plank;;7;No.1 S.5 cm (z);;;8.125;;387.081

;1211682;6/7/2569;09:44;Plank;;7;No.2 S.5 cm (z);;;8.112;;410.406
;1211683;6/7/2569;09:46;Plank;;7;;;;8.213;;438.540
;;;;;;;No.3 S.5 cm (z)
;1211684;6/7/2569;09:48;Pile i 22x22;;7;No.1 S.12 cm (b);;;8.384;;531.705

;1211685;6/7/2569;09:50;Pile i 22x22;;7;No.2 S.12 cm (b);;;8.421;;537.009
;1211686;6/7/2569;09:51;Pile i 22x22;;7;;;;8.403;;522.582
;;;;;;;No.3 S.12 cm (b)
;1211687;6/7/2569;09:53;Pile i 18x18;;7;No.1 S.19 cm (b);;;8.258;;427.125

;1211688;6/7/2569;09:55;Pile i 18x18;;7;No.2 S.19 cm (b);;;8.198;;434.450

;1211689;6/7/2569;09:56;Pile i 18x18;;7;No.3 S.19 cm (b);;;8.277;;408.564
;1211690;6/7/2569;09:58;Pile i 22x22;;5;;;;8.416;;492.471
;;;;;;;No.1 S.9 cm (b)
;1211691;6/7/2569;09:59;Pile i 22x22;;5;No.2 S.9 cm (b);;;8.453;;492.830

;1211692;6/7/2569;10:01;Pile i 22x22;;5;No.3 S.9 cm (b);;;8.402;;555.884
;1211693;6/7/2569;10:02;Pile i 18x18;;5;;;;8.298;;417.777
;;;;;;;No.1 S.14 cm (b)
;1211694;6/7/2569;10:04;Pile i 18x18;;5;No.2 S.14 cm (b);;;8.197;;441.281

;1211695;6/7/2569;10:05;Pile i 18x18;;5;No.3 S.14 cm (b);;;8.245;;436.068

;1211696;7/7/2569;09:11;Plank;;7;No.1 S.6 cm (z);;;8.303;;491.707
;1211697;7/7/2569;09:13;Plank;;7;;;;8.374;;457.596
;;;;;;;No.2 S.6 cm (z)
;1211698;7/7/2569;09:15;Plank;;7;No.3 S.6 cm (z);;;8.390;;466.629

;1211699;7/7/2569;09:16;Pile i 22x22;;7;No.1 S.5 cm (b);;;8.422;;526.402
;1211700;7/7/2569;09:18;Pile i 22x22;;7;;;;8.484;;521.413
;;;;;;;No.2 S.5 cm (b)
;1211701;7/7/2569;09:20;Pile i 22x22;;7;No.3 S.5 cm (b);;;8.358;;552.648



;;;;;;;;;;Page :4


;Print Date/Time;16/7/2569 11:04:41
;;;;;;;;;test by : Adichai
;;;;;;;;;;;;2
;Test No.;Date;Time;Customer;;Date of Unit;No./Slump.;;Weight( Kg.);;;Kgm/Cm

;1211702;7/7/2569;09:21;Pile i 18x18;;7;;;;8.332;;445.955
;;;;;;;No.1 S.7 cm (b)
;1211703;7/7/2569;09:23;Pile i 18x18;;7;No.2 S.7 cm (b);;;8.244;;500.426

;1211704;7/7/2569;09:25;Pile i 18x18;;7;No.3 S.7 cm (b);;;8.279;;485.954

;1211708;7/7/2569;09:31;Pile i 22x22;;5;No.1 S.12 cm (b);;;8.492;;600.602
;1211709;7/7/2569;09:33;Pile i 22x22;;5;;;;8.481;;543.975
;;;;;;;No.2 S.12 cm (b)
;1211710;7/7/2569;09:34;Pile i 22x22;;5;No.3 S.12 cm (b);;;8.570;;592.557

;1211711;7/7/2569;09:36;Pile i 18x18;;5;No.1 S.16 cm (b);;;8.365;;439.214
;1211712;7/7/2569;09:38;Pile i 18x18;;5;;;;8.355;;456.202
;;;;;;;No.2 S.16 cm (b)
;1211713;7/7/2569;09:39;Pile i 18x18;;5;No.3 S.16 cm (b);;;8.301;;458.404

;1211714;7/7/2569;09:41;Plank;;18h;No.1 S.4 cm (z);;;8.303;;332.162

;1211715;7/7/2569;09:42;Plank;;18h;No.2 S.4 cm (z);;;8.241;;339.847
;1211716;7/7/2569;09:44;Plank;;18h;;;;8.247;;324.926
;;;;;;;No.3 S.4 cm (z)
;1211717;7/7/2569;09:45;Pile i 22x22;;18h;No.1 S.14 cm (b);;;8.374;;346.723

;1211718;7/7/2569;09:47;Pile i 22x22;;18h;No.2 S.14 cm (b);;;8.461;;362.363
;1211719;7/7/2569;09:48;Pile i 22x22;;18h;;;;8.531;;341.420
;;;;;;;No.3 S.14 cm (b)
;1211720;7/7/2569;09:50;Pile i 18x18;;18h;No.1 S.9 cm (b);;;8.239;;308.073

;1211721;7/7/2569;09:51;Pile i 18x18;;18h;No.2 S.9 cm (b);;;8.249;;276.523

;1211722;7/7/2569;09:53;Pile i 18x18;;18h;No.3 S.9 cm (b);;;8.229;;300.522
;1211723;8/7/2569;09:28;Plank;;7;;;;8.220;;531.166
;;;;;;;No.1 S.2 cm (z)
;1211724;8/7/2569;09:30;Plank;;7;No.2 S.2 cm (z);;;8.243;;529.188

;1211725;8/7/2569;09:32;Plank;;7;No.3 S.2 cm (z);;;8.203;;535.166
;1211726;8/7/2569;09:34;Pile i 22x22;;7;;;;8.385;;539.166
;;;;;;;No.1 S.9 cm (b)
;1211727;8/7/2569;09:36;Pile i 22x22;;7;No.2 S.9 cm (b);;;8.340;;513.414

;1211728;8/7/2569;09:38;Pile i 22x22;;7;No.3 S.9 cm (b);;;8.396;;516.829

;1211729;8/7/2569;09:39;Pile i 18x18;;7;No.1 S.14 cm (b);;;8.254;;452.427
;1211730;8/7/2569;09:41;Pile i 18x18;;7;;;;8.251;;442.135
;;;;;;;No.2 S.14 cm (b)
;1211731;8/7/2569;09:42;Pile i 18x18;;7;No.3 S.14 cm (b);;;8.359;;424.159

;1211732;8/7/2569;09:44;Pile i 22x22;;5;No.1 S.15 cm (b);;;8.436;;542.716
;1211733;8/7/2569;09:46;Pile i 22x22;;5;;;;8.432;;516.919
;;;;;;;No.2 S.15 cm (b)
;1211734;8/7/2569;09:48;Pile i 22x22;;5;No.3 S.15 cm (b);;;8.426;;535.166

;1211735;8/7/2569;09:49;Pile i 18x18;;5;No.1 S.14 cm (b);;;8.260;;481.864

;1211736;8/7/2569;09:51;Pile i 18x18;;5;No.2 S.14 cm (b);;;8.257;;470.629
;1211737;8/7/2569;09:53;Pile i 18x18;;5;;;;8.301;;410.721
;;;;;;;No.3 S.14 cm (b)
;1211738;8/7/2569;09:54;Plank;;18h;No.1 S.5 cm (z);;;8.264;;333.510

;1211739;8/7/2569;09:56;Plank;;18h;No.2 S.5 cm (z);;;8.218;;323.578
;1211740;8/7/2569;09:58;Plank;;18h;;;;8.272;;319.668
;;;;;;;No.3 S.5 cm (z)
;1211741;8/7/2569;09:59;Pile i 22x22;;18h;No.1 S.13 cm (b);;;8.384;;317.825



;;;;;;;;;;Page :5


;Print Date/Time;16/7/2569 11:04:41
;;;;;;;;;test by : Adichai
;;;;;;;;;;;;2
;Test No.;Date;Time;Customer;;Date of Unit;No./Slump.;;Weight( Kg.);;;Kgm/Cm

;1211742;8/7/2569;10:01;Pile i 22x22;;18h;;;;8.542;;340.027
;;;;;;;No.2 S.13 cm (b)
;1211743;8/7/2569;10:02;Pile i 22x22;;18h;No.3 S.13 cm (b);;;8.419;;337.016

;1211744;8/7/2569;10:04;Pile i 18x18;;18h;No.1 S.12 cm (b);;;8.336;;251.221

;1211745;8/7/2569;10:05;Pile i 18x18;;18h;No.2 S.12 cm (b);;;8.296;;271.265
;1211746;8/7/2569;10:09;Pile i 18x18;;18h;;;;8.153;;348.521
;;;;;;;No.1 S.10 cm (b)
